"n","p_real","p_garbage","p_total","k","df_resid","status","power","FPR","n_missed","missed","rho_hat","sigma2_hat","tau2_hat"
1000,10,10,20,101,899,"OK",0.7,0,3,"X5,X8,X10",0.178665215581704,0.720761771419288,0.153462454805778
1000,10,20,30,151,849,"OK",0.8,0,2,"X5,X10",0.187096891604394,0.624358151949727,0.140147790694566
1000,10,40,50,251,749,"OK",0.8,0,2,"X5,X10",0.181375560323616,0.655325045652804,0.150644339967032
1000,10,60,70,351,649,"OK",0.8,0,2,"X8,X10",0.300642085046805,3.09756996762848,0.151615955197082
1000,10,80,90,451,549,"OK",0.8,0,2,"X5,X10",0.235163777715807,1.00691317009982,0.154719173936892
1000,10,100,110,551,449,"OK",0.7,0,3,"X5,X8,X10",0.187239695297369,0.657400415367342,0.157771777335623
1000,10,130,140,701,299,"OK",0.8,0,2,"X5,X10",0.207643811241759,0.870120589256021,0.122739084035757
1000,10,160,170,851,149,"OK",0.6,0.00625,4,"X3,X5,X8,X10",0.167225182283037,0.675673341791465,0.148292120553689
2000,10,10,20,101,1899,"OK",0.8,0,2,"X5,X10",0.285598635036586,2.23366135349931,0.151762312403048
2000,10,20,30,151,1849,"OK",0.8,0,2,"X5,X10",0.16815248099443,0.420917832130564,0.154388885733926
2000,10,40,50,251,1749,"OK",0.9,0,1,"X5",0.180682790446728,0.566687061484819,0.14313421130435
2000,10,60,70,351,1649,"OK",0.8,0,2,"X5,X10",0.191481218146434,0.682656976920152,0.163918629522177
2000,10,80,90,451,1549,"OK",0.8,0.0125,2,"X5,X10",0.227119393158481,0.993484818837535,0.156044360721004
2000,10,100,110,551,1449,"OK",0.8,0.01,2,"X5,X10",0.182305774138415,0.884123440982475,0.155635755600705
2000,10,130,140,701,1299,"OK",0.8,0.00769230769230769,2,"X5,X10",0.270687960420608,1.5264769917857,0.156461073674674
2000,10,160,170,851,1149,"OK",0.8,0,2,"X5,X10",0.174761618058887,0.622446851724566,0.154434401937818
