"n","p_real","p_garbage","p_total","k","df_resid","status","power","FPR","n_missed","missed","rho_hat","sigma2_hat","tau2_hat","strength"
1000,10,10,20,101,899,"OK",0.7,0,3,"X5,X8,X10",0.178665215581704,0.720761771419288,0.153462454805778,"strong"
1000,10,20,30,151,849,"OK",0.8,0,2,"X5,X10",0.187096891604394,0.624358151949727,0.140147790694566,"strong"
1000,10,40,50,251,749,"OK",0.8,0,2,"X5,X10",0.181375560323616,0.655325045652804,0.150644339967032,"strong"
1000,10,60,70,351,649,"OK",0.8,0,2,"X8,X10",0.300642085046805,3.09756996762848,0.151615955197082,"strong"
1000,10,80,90,451,549,"OK",0.8,0,2,"X5,X10",0.235163777715807,1.00691317009982,0.154719173936892,"strong"
1000,10,100,110,551,449,"OK",0.7,0,3,"X5,X8,X10",0.187239695297369,0.657400415367342,0.157771777335623,"strong"
1000,10,130,140,701,299,"OK",0.8,0,2,"X5,X10",0.207643811241759,0.870120589256021,0.122739084035757,"strong"
1000,10,10,20,101,899,"OK",0.6,0,4,"X3,X5,X8,X10",0.180624625539368,0.72842921521491,0.153539600447271,"weak"
1000,10,20,30,151,849,"OK",0.6,0,4,"X3,X5,X8,X10",0.188371189296647,0.633159721249117,0.139241164897583,"weak"
1000,10,40,50,251,749,"OK",0.5,0,5,"X3,X4,X5,X8,X10",0.182021996464929,0.657817100916553,0.150485445705349,"weak"
1000,10,60,70,351,649,"OK",0.6,0,4,"X3,X6,X8,X10",0.298798804181214,3.06061276158741,0.151605385013596,"weak"
1000,10,80,90,451,549,"OK",0.5,0,5,"X3,X5,X6,X8,X10",0.24239262738059,1.0553891338131,0.154502393045606,"weak"
1000,10,100,110,551,449,"OK",0.5,0,5,"X3,X4,X5,X8,X10",0.186398870885231,0.655617872022501,0.15628912976608,"weak"
1000,10,130,140,701,299,"OK",0.2,0,8,"X1,X2,X3,X4,X5,X6,X8,X10",0.207495475988873,0.864859016822724,0.121626408462778,"weak"
